"composerName","workTitle"
"Merikanto,  Oskar","IN HARVEST TIME (A CAPELLA CHORUS)"
"Merikanto,  Oskar","SLEEPY GIRL, THE (A CAPELLA CHORUS)"
"Palmgren,  Selim","MARYATTA'S CRADLE SONG (A CAPELLA CHORUS)"
"Palmgren,  Selim","DOTTY DITTY (A CAPELLA CHORUS)"
"Traditional,","MAILIED (A CAPELLA CHORUS) (ARR. Reger)"
"Traditional,","KOENIGSKINDER (A CAPELLA CHORUS) (ARR. Reger)"
"Traditional,","SCHWABISCHES TANZLIED (A CAPELLA CHORUS) (ARR. Reger)"
"Rachmaninoff,  Sergei","CANTATA, VOICE OF SPRING"
"Brahms,  Johannes","WENN DU NUR ZUWEILEN LACHELST"
"Verdi,  Giuseppe","FALSTAFF"
"Traditional,","ALL THROUGH THE NIGHT (WELSH FOLKSONG)"
"Sweelinck,  Jan  Pieterszoon","OR SUS SERVITEURS DU SEIGNEUR"
"Victoria,  Tomás  Luis de","TENEBRAE FACTAE SUNT"
"Riedel,  Karl  Heinrich","CHRISTI LEIDEN"
"Bach,  Johann  Sebastian","BLESSING, GLORY AND WISDOM (SPURIOUS)"
"Wilbye,  John","SWEET HONEYSUCKING BEES."
"Battishill,  Jonathan","AMIDST THE MYRTLES"
"Elgar,  Sir  Edward","PARTSONGS, TWO: THE SHOWER, LOVE'S TEMPEST"
"Grainger,  Percy","MERRY WEDDING, THE"
"Beethoven,  Ludwig  van","FURY OVER THE LOST PENNY (SOLO PIANO)"
"Handel,  George  Frideric","SCIPIONE"
"Traditional,","ALLA TRINITA"
"Palestrina,  Giovanni  Da","GLORIA PATRI"
"Gounod,  Charles","BY BABYLON'S WAVE"
"Ponchielli,  Amilcare","GIOCONDA, LA"
"Traditional,","SONGS WITH PIANO (UNSPECIFIED)"
"Traditional,","VENETIAN BOAT SONG"
"Brahms,  Johannes","TUSCAN FOLK SONG (UNSPECIFIED)"
"Brahms,  Johannes","CHILDREN'S FOLK SONG (UNSPECIFIED)"
"Brahms,  Johannes","GERMAN FOLK SONGS"
"Mendelssohn,  Felix","IM GRUNEN (SPRING SONG) (CHORAL)"
"Gounod,  Charles","MORN OF THE YEAR"
"Ivanovici,  Ion","TUNE OF THE SILVER SKATES, THE"
"Beethoven,  Ludwig  van","VESPER HYMN, THE"
"Johnstone,  Maurice","GIANT AND THE PIGMIES, THE"
"Giordano,  Umberto","SIBERIA"
"Schumann,  Robert","KÖNIGSSOHN, DER, OP. 116"
"Loomis,  Harvey  Worthington","BANNER OF LIBERTY, THE"
"Rogers,  Frederic","CONCERTSTUCK, D MINOR"
"Dubois,  Theodore","PARADISE LOST"
"Puccini,  Giacomo","TOSCA"
"Burleigh,  Henry [Harry]  Thacker","PRAYER, THE"
"Clough-Leighter,  Henry","MY LOVER, HE COMES ON THE SKEE"
"Floridia,  Pietro","MADRIGALE"
"Sinding,  Christian","LIGHT"
"Musorgsky,  Modest","SONG OF THE FLEA"
"Wieniawski,  Henri","POLONAISE BRILLANTE NO. 1 IN D MAJOR, OP.4"
"Herbert,  Victor","CAPTIVE, THE"
"Fletcher,  Percy","WALRUS AND THE CARPENTER, THE"
"Ware,  Harriet","HOW DO I LOVE THEE"
"Lohr [Löhr],  Herman","I WISH I WERE A TINY BIRD"
"La Forge,  Frank","I CAME WITH A SONG"
"Salter,","AUTUMN SONG"
"Mollison,","DAYBREAK"
"Russell,","SECRET FIRE"
"Bach,  Johann  Sebastian","CANTATA NO.  42:  SINFONIA  (ARR. Franko)"
"Bach,  Johann  Sebastian","CANTATA NO. 156:  ARIOSO (ARR. Franko)"
"Strauss,  Richard","ALPINE SYMPHONY, OP. 64"
"Stock,  Frederick  A.","CONCERTO, VIOLIN"
"Ravel,  Maurice","VALSES NOBLES ET SENTIMENTALES"
"Spohr,  Louis","CONCERTO, VIOLIN (UNSPECIFIED)"
"Leroux,  Xavier  Henry Napoleon","PERSES, LES"
"Granados,  Enrique","GOYESCAS (VOICE + 2 PIANOS) (ARR. Unspecified)"
"Sibella,  Gabrielle","DESIR"
"Lehmann,  Liza","CUCKOO, THE"
"Franck,  César","DJINNS, LES"
"Haydn,  Franz  Joseph","SYMPHONY NO.  31, D MAJOR (HORNSIGNAL)"
"Rabaud,  Henri","SYMPHONY NO. 2, E MINOR"
"Elgar,  Sir  Edward","SOSPIRI"
"Sinigaglia,  Leone","CHARACTERISTIC PIECES FOR STRINGS, TWO, OP. 35"
"Musorgsky,  Modest","SONGS AND DANCES OF DEATH (VOICE+ORCH) (ARR. Unspecified)"
"Musorgsky,  Modest","AU BORD DE DON"
"Gretry [Grétry],  Andre [André]  Ernest Modeste","L'EPREUVE VILLAGEOIS"
"Volkmann,  Friedrich  Robert","RICHARD III, OP. 68"
"Klughardt,  August","CONCERTO, CELLO, A MINOR, OP. 59"
"Ravel,  Maurice","INTRODUCTION AND ALLEGRO FOR HARP WITH FL/CL/STRINGS"
"Bach,  Johann  Sebastian","SUITE NO. 1, C MAJOR, BWV 1066"
"Debussy,  Claude","DANSE SACRÉE ET DANSE PROFANE"
"Bossi,  Marco  Enrico","JOAN OF ARC, OP. 135"
"Grieg,  Edvard","SONGS, OP. 60"
"Grieg,  Edvard","FISHER MAIDEN, FOUR SONGS FROM THE"
"Rimsky-Korsakov,  Nikolai","COQ D'OR, LE: OPERA"
"Gounod,  Charles","O SING TO GOD"
"Franck,  César","BEATITUDES, THE"
"Bach,  Johann  Sebastian","ARIOSO (UNSPECIFIED)"
"Bach,  Johann  Sebastian","GAVOTTE (UNSPECIFIED)"
"Sweelinck,  Jan  Pieterszoon","BORN TODAY"
"Franck,  César","VIERGE A LA CRECHE, LA"
"Bach,  Johann  Sebastian","CANTATA NO. 156:  ""ICH STEH MIT EINEM FUSS IM GRABE"" (ORCH) (ARR. Franko)"
"Adam,  Adolphe  Charles","O HOLY NIGHT (ARR. Holland)"
"Stravinsky,  Igor","FIREBIRD: SUITE (1911 VERSION)"
"Zandonai,  Riccardo","PRIMAVERA IN VAL DI SOLE"
"Zimbalist,  Efrem","FOUR CREOLE SONGS"
"Indy,  Vincent  d'","ISTAR: SYMPHONIC VARIATIONS, OP. 42"
"Jensen,  Adolf","AM UFER DES MANZANARES"
"Liszt,  Franz","UBER ALLEN GIPFELN"
"Schumann,  Robert","SÄNGERS FLUCH, DES, OP. 139, NO. 4:   PROVENCALISCHES LIED"
"Hegar,  Friedrich","RUDOLPH VON WERDENBERG"
"Reinthaler,  Karl","GLOCKENHURMER'S TOCHTERLIEN"
"Kreutzer,  Conradin","AN DAS VATERLAND"
"Schumann,  Robert","SECHS GESANGE, OP. 36, NO. 1:  SONNTAGS AM RHEIN"
"Mair,  Franz","SUOMI'S SANG"
"Gernsheim,  Friedrich","SALAMIS"
"Elsenheimer,  N.  J.","COLUMBIA'S EID"
"Goldmark,  Rubin","SAMSON"
"Wagner,  Richard","GROSSER FESTMARSCH (CENTENNIAL MARCH)"
"Beethoven,  Ludwig  van","NATURES PRAISE, SONGS, SIX, OP. 48, NO. 4 (ARR. FOR CHORUS) (ARR. Unspecified)"
"Hadley,  Henry  Kimball","SYMPHONIC FANTASIE, E FLAT MAJOR, OP. 46"
"Rameau,  Jean-Philippe","HIPPOLYTE ET ARICIE"
"Musorgsky,  Modest","WHERE ART THOU, LITTLE STAR?"
"Rachmaninoff,  Sergei","TWELVE SONGS, OP. 21"
"Rimsky-Korsakov,  Nikolai","CZAR'S BRIDE (SONG)"
"Rimsky-Korsakov,  Nikolai","SYLVAN ROUNDELAY"
"Bach,  Johann  Sebastian","CHORALE, ""VOM HIMMEL HOCH, DA KOMM'ICH HER,"" BWV 606"
"Bach,  Johann  Sebastian","MASS IN B MINOR, BWV 232"
"Bach,  Johann  Sebastian","CANTATA NO.  27"
"Bach,  Johann  Sebastian","CANTATA NO. 140: ""WACHET AUF RUFT UNS DIE STIMME"""
"Roentgen [Röntgen],  Julius","CONCERTO FOR VIOLONCELLO, IN G MINOR"
"Chopin,  Frédéric","CHANT POLONAIS (ARR. Liszt)"
"Chopin,  Frédéric","SCHERZO [UNSPECIFIED]"
"Bach,  Johann  Sebastian","AIR [UNSPECIFIED]"
"Schulz,  Leo","DANCE OF THE FAIRIES"
"Schumann,  Robert","WALDSZENEN, OP. 82, NO. 7:  VOGEL ALS PROPHET"
"Kreisler,  Fritz","TAMBOURIN CHINOIS (ORIG. VIOLIN)"
"Servais,  Adrien  Francois","GRAND DUO FOR VIOLIN AND CELLO (VIEUXTEMPS)"
"Herbert,  Victor","AMERICA FANTASIA"
"Vogrich,  Max  Wilhelm Karl","CONCERTO FOR VIOLIN"
"Wagner,  Richard","TRISTAN UND ISOLDE, WWV 90, PRELUDE ACT III, SHEPHERD'S TUNE (ARR. Humiston)"
"Widor,  Charles  Marie","SYMPHONY NO. 3, E MINOR, OP.69"
"David,  Felicien  Cesar","LA PERLE DU BRÉSIL"
"Delibes,  Léo","LAKME (LAKMÉ)"
"Indy,  Vincent  d'","FERVAAL, OP. 40"
"Rubinstein,  Anton","WORK (UNSPECIFIED)"
"Brahms,  Johannes","WORK (UNSPECIFIED)"
"Grieg,  Edvard","WORK (UNSPECIFIED)"
"Kreisler,  Fritz","WORK (UNSPECIFIED)"
"Sibelius,  Jean","VALSE TRISTE, OP. 44, NO. 1"
"Offenbach,  Jacques","PIERROT CLOWN"
"Chopin,  Frédéric","BACCHANALE"
"Eckert,  Karl","CONCERTO, CELLO"
"Mozart,  Wolfgang  Amadeus","SINFONIA CONCERTANTE, VLN/VLA, E-FLAT MAJOR, K.320D (K.364)"
"Chadwick,  George  Whitefield","APHRODITE"
"Handel,  George  Frideric","SEMELE"
"Saint-Saens [Saint-Saëns],  Camille","DANSE MACABRE (VOCAL)"
"Georges,  Alexandre","HYMNE AU SOLEIL"
"Bizet,  Georges","PETITE SUITE: JEUX D'ENFANTS, OP.22"
"Grainger,  Percy","IN A NUTSHELL"
"Chopin,  Frédéric","NOCTURNE (UNSPECIFIED) (ORCH.) (ARR. Unspecified)"
"Zimbalist,  Efrem","LITTLE RUSSIA FOLK SONGS"
"Rachmaninoff,  Sergei","DIESE HERRLICHE NACHT"
"Humiston,  William  Henry","SONG OF EVENING, A"
"Schubert,  Franz","UNENDLICHEN, DEM, D.291 (VOICE/ORCH) (ARR. Mottl)"
"Otterstrom,  Thorvald","AMERICAN NEGRO SUITE"
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 25, G MINOR, K.173DB (OLD K.183)"
"Strauss,  Richard","BURLESKE, D MINOR"
"Hadley,  Henry  Kimball","SYMPHONY NO. 4, D MINOR, OP. 64, ""NORTH, EAST, SOUTH, WEST"""
"Dubois,  Theodore","INTERMEDE SYMPHONIQUE DE NOTRE DAME DE LA MER"
"McCabe,  James  J.","AMERICA"
"Woodman,  Raymond  Huntington","MOTHERLAND"
"Steffe,  William","BATTLE HYMN OF THE REPUBLIC"
"Foster,  Stephen  Collins","OLD FOLKS AT HOME"
"Handel,  George  Frideric","CONCERTO A DUE CORI NO. 2, F MAJOR, HVW 333 (ARR. Kogel)"
"Dubois,  Theodore","SYMPHONIE FRANÇAISE"
"Franck,  César","PROCESSION, LA"
"Parker,  Horatio","RED CROSS SPIRIT SPEAKS, THE"
"Handel,  George  Frideric","XERXES: LARGO"
"Gilbert,  Henry  F.","RIDERS TO THE SEA, SYMPHONIC PROLOGUE"
"Traditional,","FOLKSONG (UNSPECIFIED) (ORCH.) (ARR. Grainger)"
"Chadwick,  George  Whitefield","TAM O'SHANTER"
"Pergolesi,  Giovanni  Battista","CONCERTINO, STRINGS, F MINOR (ARR. Franko)"
"Bruch,  Max","CONCERTO, TWO PIANOS, OP.88A"
"Debussy,  Claude","PETITE SUITE (ARR. Busser)"
"Chopin,  Frédéric","NOCTURNE NO. 2, E-FLAT MINOR, OP. 9, NO. 2 (CELLO AND HARP) (ARR. Unspecified)"
"Godard,  Benjamin","TASSE, LE"
"Elgar,  Sir  Edward","CARILLON, OP. 75"
"Pierne [Pierné],  Gabriel","CHILDREN'S CRUSADE, THE (CHORAL)"
"Damrosch,  Walter","MY WIFE"
"Homer,  Sidney","SHEEP AND LAMBS"
"Homer,  Sidney","THY VOICE IS HEARD THROUGH ROLLING DRUM"
"Mozart,  Wolfgang  Amadeus","DON GIOVANNI: OVERTURE, K.527 (ARR. Busoni)"
"Liszt,  Franz","PSALM NO. 23"
"Franck,  César","NOCTURNE"
"Koechlin,  Charles","LE THE"
"Saint-Saens [Saint-Saëns],  Camille","MAI"
"Strauss,  Richard","ARIADNE AUF NAXOS, OP. 60"
"Stokowski,  Leopold","WHEN CHRIST WAS BORN"
"Traditional,","JESU, THOU DEAR BABE DIVINE"
"Traditional,","NOEL MACONNAIS"
"Osgood,  James  R.","LISTEN LORDLINGS UNTO ME"
"Bridge,  Frank","GOSLINGS, THE"
"Traditional,","SONG OF THE ANGELS"
"Herbert,  Victor","IRISH RHAPSODY"
"Laucella,  Nicola","WHITEHOUSE"
"Kalinnikov,  Vassili","SYMPHONY NO. 2, A MAJOR"
"Hubay,  Jeno","CONCERTO, VIOLIN"
"Whithorne,  Emerson","THE RAIN"
"Bloch,  Ernest","THREE JEWISH POEMS"
"Chopin,  Frédéric","NOCTURNE NO. 19, E MINOR, OP. 72, NO. 1 (ORCH) (ARR. Auer)"
"Paganini,  Nicolò","CAPRICE NO. 24 (ARR. Auer)"
"Gounod,  Charles","MIREILLE"
"Brahms,  Johannes","SCHICKSALSLIED, CHORUS/ORCH, OP. 54"
"Bach,  Johann  Sebastian","BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047 (ARR. Mottl)"
"MacDowell,  Edward  A.","HAMLET AND OPHELIA, OP. 22"
"Redhead,  Richard","PETRA (REDHEAD 76)"
"Bach,  Johann  Sebastian","CANTATA NO. 198"
"Bach,  Johann  Sebastian","CANTATA NO. 161"
"Sibelius,  Jean","SWAN OF TUONELA, THE [USE LEMMINKAINEN SUITE (LEGENDS), ID 8867]"
"Stillman-Kelley,  Edgar","SYMPHONY NO. 2 (NEW ENGLAND)"
"Bach,  Johann  Sebastian","CANTATA NO.  29: SINFONIA  (ARR. Damrosch)"
"Rachmaninoff,  Sergei","KEEN THE PAIN"
"Traditional,","PEASANT GIRL (VOICE + ORCH)"
"Traditional,","BUCKWHEAT CAKES (VOICE + ORCH)"
"Fourdrain,  Félix  Alfred","CARNAVAL (ARR. Kolar)"
"Bach,  Johann  Sebastian","AIR ON THE G STRING (ORCH) (ARR. Damrosch)"
"Bach,  Johann  Sebastian","CANTATA NO.  53:  SCHLAGE DOCH, GEWÜNSCHTE STUNDE"
"Wagner,  Richard","WESENDONCK LIEDER, WWV 91 (VOICE + ORCH) (ARR. Kolar)"
"Arensky,  Anton  Stepanovich","EAGLE, THE (ARR. Kolar)"
"Mana Zucca,","FUGATO HUMORESQUE"
"Damrosch,  Walter","ELECTRA"
"McFadyen,","INTER NOS"
"Burleigh,  Henry [Harry]  Thacker","ONE YEAR"
"Sans Souci,  Gertrude","WHERE BLOSSOMS GROW"
"Indy,  Vincent  d'","MEDEE SUITE"
"Chiaffarelli,  Albert","PRELUDE AND FUGUE"
"Hill,  Edward  Burlingame","STEVENSONIANA: SUITE NO. 1"
"Damrosch,  Walter","MEDEA"
"Franck,  César","EOLIDES, LES"
"Boyle,  George  Frederick","SYMPHONIC FANTASIE"
"Glazunov,  Alexander","CHOPINIANA, OP. 46"
"Chopin,  Frédéric","NOCTURNE [UNSPECIFIED] (ORCH) (ARR. Glazunov)"
"Popper,  David","SPINNING SONG, OP. 55, NO. 1"
"Lyadov,  Anatoli","MUSICAL SNUFF-BOX, THE, OP. 32 (ORCHESTRA)"
"Bloch,  Ernest","SYMPHONY, C SHARP MINOR"
"Sowerby,  Leo","COMES AUTUMN TIME"
"Dvorsky,  Michel","CHROMATICON"
"Smith,  John  Stafford","STAR SPANGLED BANNER, THE [SEE ANTHEM]"
"Lisle,  Claude-Joseph  R. De","MARSEILLAISE, LA"
"Elgar,  Sir  Edward","SPIRIT OF ENGLAND, THE"
"Horsman,  Edward  Imeson, Jr.","STAND, STAND UP, AMERICA!"
"Unspecified,","POLISH NATIONAL HYMN"
"Vidal,  Paul  Antonin","DANSES TANAGREENNES"
"Kelley,  Edgar  Stillman","CALIFORNIA IDYLL, A"
"Roger-Ducasse,  Jean","SARABANDE"
"Stanford,  Sir  Charles  Villiers","VERDUN"
"Greef,  Arthur  De","OLD FLEMISH FOLKSONGS, FOUR"
"Geral,","CONCERTO FOR VIOLONCELLO"
"Sibelius,  Jean","KING CHRISTIAN II, OP. 27: SUITE"
"Wilson,  Mortimer","FROM MY YOUTH, OP.5: SUITE"
"Auber,  Daniel-François","SLUMBER SONG, FROM LA MUETTE (ARR. SOLO OBOE) (ARR. De Busscher)"
"Messager,  Andre [André]  Charles Prosper","BASOCHE, LA"
"Lekeu,  Guillaume","FANTASY ON TWO POPULAR ANGEVIN AIRS"
"Bellini,  Vincenzo","I CAPULETTI ED I MONTECCHI"
"Schulz,  Leo","AMERICAN RHAPSODY"
"Smith,  David  Stanley","SYMPHONY NO. 2, D MAJOR, OP. 42"
"Bloch,  Ernest","POEMS OF AUTUMN"
"Ippolitov-Ivanov,  Mikhail","CAUCASIAN SKETCHES, SUITE NO. 1"
"Paine,  John  Knowles","AZARA"
"Cornelius,  Peter","BARBIER VON BAGDAD, DER (ARR. Liszt)"
"Delius,  Frederick","LIFE'S DANCE"
"Bourk,  Richard  C.","HIAWATHA: THE FALL OF NOKOMIS"
"Traditional,","CAROL: MUSETTE (FLEMISH) (ARR. Gevaert)"
"Traditional,","CAROL: SOMMEIL DE L'ENFANT DIVIN, LE (FLEMISH) (ARR. Finn)"
"Traditional,","CAROL: THREE KINGS' SONG, THE (ENGLISH)"
"Traditional,","CAROL: ANGELS AND THE SHEPHERDS, THE (BOHEMIAN)"
"Traditional,","CAROL: GOOD KING WENCESLAS"
"Converse,  Frederick  S.","THE PEACE PIPE"
"Rimsky-Korsakov,  Nikolai","CHRISTMAS EVE"
"Sabata,  Victor  De","SYMPHONIC SUITE"
"Beethoven,  Ludwig  van","CONCERTO, PIANO, NO. 1, C MAJOR, OP.15"
"Sweet,  Reginald","ORCHESTRAL SKETCHES (TO LINES OF WHITMAN)"
"Boulanger,  Lili","FAUST ET HELENE"
"Faure [Fauré],  Gabriel-Urbain","NOCTURNE FOR STRINGS"
"Suppe [Suppé],  Franz  Von","PIQUE DAME"
"Sibelius,  Jean","ELEGIE"
"Sibelius,  Jean","MUSETTE"
"Brahms,  Johannes","WIEGENLIED, OP. 49, NO. 4 (LULLABY) (ORCHESTRA W/O SOLO) (ARR. Unspecified)"
"Herbert,  Victor","MADEMOISELLE MODISTE"
"Lorenziti,  Bernard","SUITE FOR VIOLE D'AMOUR AND ORCHESTRA"
"Strube,  Gustav","VARIATIONS ON AN ORIGINAL THEME"
"Saint-Saens [Saint-Saëns],  Camille","FANTASY FOR HARP, OP. 95"
"Borowski,  Felix","ELEGIE SYMPHONIQUE"
"Rachmaninoff,  Sergei","ISLE OF THE DEAD, OP. 29"
"Liszt,  Franz","TRIOMPHE FUNÈBRE DE TASSE, (SYMPHONIC POEM NO. 2A)"
"Humiston,  William  Henry","SUITE FOR ORCHESTRA, F SHARP MINOR"
"Goldmark,  Rubin","REQUIEM (SUGGESTED BY GETTYSBURG ADDRESS)"
"Casella,  Alfredo","WAR PICTURES"
"Grainger,  Percy","COLONIAL SONG"
"Grainger,  Percy","MOCK MORRIS"
"Chadwick,  George  Whitefield","ANGEL OF DEATH, THE"
"Mouquet,  Jules","FLUTE DE PAN, LA"
"Respighi,  Ottorino","FOUNTAINS OF ROME (FONTANE DI ROMA)"
"Wagner,  Richard","PARSIFAL, WWV 111:  MARCH OF THE KNIGHTS/BELL SCENE (ARR. Kistler)"
"Powell,  John","RHAPSODIE NEGRE"
"Roger-Ducasse,  Jean","AU JARDIN DE MARQUERITE"
"Debussy,  Claude","CHILDREN'S CORNER SUITE (SOLO PIANO)"
"Unspecified,","ARIA (UNSPECIFIED)"
"Elgar,  Sir  Edward","LE DRAPEAU BELGE, OP. 79"
"Kramer,  Alex  Walter","SWANS, OP. 44, NO. 4"
"Ganz,  Rudolph","A THOUGHT"
"Morris,  Harold","TONE POEM"
"Cutler,  Henry  Stephen","SON OF GOD GOES FORTH TO WAR, THE"
"Damrosch,  Walter","PEACE HYMN OF THE REPUBLIC"
"Damrosch,  Walter","MANILA TE DEUM"
"Sinding,  Christian","SYMPHONY NO. 2, D MAJOR, OP. 83"
"Hadley,  Henry  Kimball","ANGELUS"
"Mana Zucca,","NOVELETTE"
"Benoit,  Peter","CHARLOTTE CORDAY"
"Waldteufel,  Emil","SIRENES WALTZ, LES [LES SIRÈNES]"
"Bach,  Johann  Sebastian","CANTATA NO.  31"
"Debussy,  Claude","IMAGES: GIGUES, NO. 1"
"Casella,  Alfredo","NOTTE DI MAGGIO, OP. 20"
"Bartok [Bartók],  Béla","DEUX IMAGES (TWO PICTURES), BB 59"
"Dupont,  Gabriel","LE CHANT DE LA DESTINÉE"
"Bach,  Johann  Sebastian","CANTATA NO. 38: CHORALE-PRELUDE, ""AUS TIEFER NOT SCHREI ICH ZU DIR"" (SYMPHONY) (ARR. Bodanzky)"
"Rogers,  Bernard","TO THE FALLEN"
"Bloch,  Ernest","WINTER-SPRING"
"McKinley,  Carl","INDIAN SUMMER IDYL"
"Indy,  Vincent  d'","SYMPHONY NO. 3, (SINFONIA BREVIS), OP. 3"
"Debussy,  Claude","BERCEUSE HEROIQUE"
"Duparc,  Henri","AUX ETOILES"
"Turina,  Joaquin","LA PROCESIÓN DEL ROCIO, OP. 9"
"Novak,  Vitezslav","IN THE TATRA MOUNTAINS, OP. 26"
"Griffes,  Charles  Tomlinson","POEM, FLUTE AND ORCHESTRA"
"Beach,  Amy","EXALTATION"
"Pierce,  Seneca","MY LITTLE HOUSE"
"Rachmaninoff,  Sergei","O THOU BILLOWY HARVEST FIELD!"
"Bruckner,  Anton","SYMPHONY NO. 8, C MINOR"
"Hageman,  Richard","AT THE WELL"
"Kramer,  Alex  Walter","A NOCTURNE"
"Beach,  Amy","JUNE"
"Pierne [Pierné],  Gabriel","CATHEDRALES, LES"
"Grainger,  Percy","OVER THE HILLS AND FAR AWAY (ORCH + PNO)"
"Schumann,  Robert","MYRTHEN, OP. 25 (ARR. Stokowski)"
"Brahms,  Johannes","EVER LIGHTER GROWS MY SLUMBER, [IMMER LEISER WIRD MEIN SCHLUMMER] (ARR. Stokowski)"
"Schubert,  Franz","ERLKONIG [ERLKÖNIG], D.328 (ARR. Stokowski)"
"Chiaffarelli,  Albert","PRELUDE TO A MERRY PLAY"
"Grieg,  Edvard","SYMPHONIC DANCES, OP. 64"
"Stransky,  Josef","TO SOLITUDE"
"Musorgsky,  Modest","SONGS AND DANCES OF DEATH (VOICE+ORCH) (ARR. Shostakovich)"
"Musorgsky,  Modest","ON THE DNIEPER"
"Moszkowski,  Moritz","SUITE NO. 1, F MAJOR, OP. 39"
"Schmitt,  Florent","VIENNESE RHAPSODY, OP. 53"
"Traditional,","CAROL: ENTRE LE BOEUF ET L'ANE GRIS (VOICE + PNO) (ARR. Weckerlin)"
"Traditional,","CAROL: NOEL DU PAYS DU BEAUNE (VOICE + PNO) (ARR. Emmanuel)"
"Traditional,","CAROL: KING HEROD AND THE COCK (VOICE + PNO) (ARR. Sharp)"
"Traditional,","CAROL: AS I SAT ON A SUNNY BANK (VOICE + PNO) (ARR. Sharp)"
"Traditional,","SONG: LA BELLE JALOUSE (ARR. Minsmer)"
"Traditional,","SONG: LA FEMME EMBARRASSEE (ARR. Bourgault-Doucoudray)"
"Traditional,","SONG: LORD LOVEL (VOICE + PNO)"
"Traditional,","SONG: THE DUMB WIFE CURED (VOICE + PNO)"
"Traditional,","CHRISTMAS HYMNS (UNSPECIFIED)"
"Lazzari,  Sylvio","IMPRESSIONS OF NIGHT"
"Steinberg,  Maximilian","VARIATIONS FOR ORCHESTRA, OP. 2"
"Rimsky-Korsakov,  Nikolai","TALE OF TSAR SALTAN, THE, OP. 57: SUITE (ORIGINAL VERSION)"
"Pierne [Pierné],  Gabriel","CONCERTSTUCK FOR HARP CHROMATIQUE"
"Fibich,  Zdenko","NIGHT AT KARLUV-TYN (CHARLES' CASTLE), A"
"Carpenter,  John  Alden","SYMPHONY NO. 1 (SERMONS IN STONES)"
"Tcherepnin,  Nikolai","CONCERTO FOR PIANO, OP. 30 IN C SHARP MINOR"
"Merikanto,  Oskar","TWO SONGS, OP. 71"
"Jarnefelt [Järnefelt],  Armas","KEHTOLAULU"
"Lieurance,  Thurlow","BY THE WATERS OF MINNETONKA"
"Maxwell,  Elsa","SINGER, THE"
"Speaks,  Oley","MORNING"
"Mozart,  Wolfgang  Amadeus","REQUIEM, K. 626"
"Unknown,","AVE MARIS STELLA (HAIL STAR OF THE SEA)"
"Unknown,","INTROIT: RORATE COELI"
"X,  Alfonso","CANTIGAS DE SANTA MARIA"
"Handel,  George  Frideric","CONCERTO, ORGAN, OP. 7, NO. 4, D MINOR"
"Handel,  George  Frideric","ODE FOR ST. CECILIA'S DAY"
"Sibelius,  Jean","FINLANDIA, OP. 26"
"Kalinnikov,  Vassili","FIR TREE AND THE PALM, THE"
"Mason,  Daniel  Gregory","RUSSIANS"
"Smetana,  Bedrich","OVERTURE TO A COMEDY"
"Rachmaninoff,  Sergei","VOCALISE"
"Kramer,  Alex  Walter","EKLOG"
"Aubert,  Louis","HABANERA"
"Boito,  Arrigo","MEFISTOFELE"
"Boieldieu,  François-Adrien","CALIPH OF BAGDAD"
"Sullivan,  Sir  Arthur  Seymour","MIKADO, THE"
"Sousa,  John  Philip","WASHINGTON POST"
"Riesenfeld,  Hugo","OVERTURE IN ROMANTIC STYLE"
"Debussy,  Claude","ARIETTE OUBLIEE:  L'OMBRE DES ARBRES"
"Massenet,  Jules","AH, SI LES FLEURS AVAIENT DES YEUX"
"Grieg,  Edvard","SONGS, SIX, OP. 48 (ARR. VOICE + ORCH.) (ARR. Unspecified)"
"Wagner,  Richard","WESENDONCK LIEDER, WWV 91: TRAUME (ORCH. W/O SOLOIST) (ARR. Thomas)"
"Rimsky-Korsakov,  Nikolai","CONCERTO, PIANO IN C-SHARP MINOR, OP. 30"
"Merikanto,  Oskar","JAG LEVER"
"Woodman,  Raymond  Huntington","AN OPEN SECRET"
"Ropartz,  Joseph  Guy","PASTORALE ET DANSES"
"Mozart,  Wolfgang  Amadeus","CONCERTO, BASSOON, B-FLAT MAJOR, K.186E (OLD K.191)"
"Tommasini,  Vincenzo","CHIARI DI LUNA  (MOONLIGHT)"
"Beethoven,  Ludwig  van","CONCERTO, PIANO, NO. 2, B FLAT MAJOR, OP.19"
"Schumann,  Robert","CARNAVAL (SOLO PIANO), OP. 9"
"Grieg,  Edvard","LYRIC PIECES (III), OP. 43 (SOLO PIANO)"
"Tchaikovsky,  Pyotr  Ilyich","SLEEPING BEAUTY: SUITE, OP. 66A"
"Albeniz [Albéniz],  Isaac","SPANISH DANCE (UNSPECIFIED)"
"Griffes,  Charles  Tomlinson","WHITE PEACOCK, THE"
"Maloof,  A.","TRIP TO SYRIA, A (ARR. ORCH.) (ARR. Griffes)"
"Musorgsky,  Modest","SOROCHINSY FAIR"
"Traditional,","BURMESE COURT DANCE OF GREETING"
"Glazunov,  Alexander","DANSE ORIENTALE"
"Traditional,","PUNJABI KITE DANCE (ARR. Cheeswright)"
"Traditional,","IN THE KING'S GARDEN (ARR. Cheeswright)"
"Traditional,","CEYLON HARVEST DANCE, A"
"Traditional,","CLASSIC HINDU NAUTCH"
"Musorgsky,  Modest","NIGHT ON BALD MOUNTAIN (ARR. Rimsky-Korsakov)"
