"Behrens, Hildegard"
"Thomson"
"Manen, Juanito"
"Gerardy, Jean"
"Oberhauser"
"Roth-Muehl, Nicolaus"
"Brema, Marie"
"Marsick, Martin Pierre Joseph"
"Ondricek, Franz"
"Williams, Evan"
"Sauret, Emile"
"Rivarde, Serge Achille"
"Wetzler, Hermann Hans"
"Brockway, Howard"
"Schenck, Elliot"
"Ternina, Milka"
"Ffrangcon-Davies, David T."
"Rubinstein Club Chorus"
"Apollo Club Chorus"
"Szumowska, Antoinette"
"Hall, Marguerite"
"Westervelt, Louise"
"Bloodgood, Katherine"
"Xanten, William"
"Hoffmann, Rachel"
"Mertens, Wilhelm"
"Verlet, Alice"
"Seygard, Camille"
"Graboff, Harry"
"Torriani, Jennie"
"Liebling, Max"
"Oordt, Jan van"
"Halir, Karl"
"Carl, William C."
"Jacoby, Josephine"
"Sieveking, Martinus"
"Mead, Olive"
"Mannes, David"
"Pfeiffenschneider, Justus, Jr."
"Zimmermann, Gusta Meyer"
"Hamlin, George"
"Terrel, Florence"
"Wallen, Laura Louise"
"Listemann, Franz"
"Baldwin, Adele"
"Carreño, Teresa"
"Gadski, Johanna"
"Harris, Victor"
"Stern, Leo"
"Russell, Ella"
"Miner, Martha J."
"Hoerlocker, Zora Gladys"
"Distelhurst, H. E."
"Witherspoon, Herbert"
"Davies, Benjamin Grey"
"People's Singing Classes"
"Meyn, Heinrich"
"People's Choral Union"
"Meredith, Eleanor"
"Clary, Mary Louise"
"Yorx, Theodore Van"
"Pugno, Raoul"
"Melba, Nellie"
"Brazzi, Stella"
"Mattfeld, Marie"
"Ibos, Guillaume"
"Auguste , Boudouresque"
"Stehmann, Gerhard"
"Vanni, Roberto"
"Siloti, Alexander"
"Rothstein, Ida"
"Platz, Stella"
"Friedman, Carrie"
"Kahn, Augusta"
"Stern, Josie"
"Burke, Esther G."
"Morck, Rolf"
"Musical Art Society"
"Anderson, Sara"
"Fiske, Katherine"
"Whiting, Arthur"
"Burmester, Willy"
"MacCarthy, Maude"
"Gaylord, Margaret"
"Chapman, Edith R."
"Hallé, Lady"
"Van Rooy, Anton"
"Paur, Emil"
"Kroll, Louis"
"Brandt, Frances"
"Lichtenstein, Alice"
"Christensen, Anna"
"Brandt-Rantzan, Rolf de"
"Petschnikoff, Alexander"
"Butt, Clara"
"Luckstone, Isidore"
"Hambourg, Mark"
"Fried, Philip"
"Preston, Grace"
"Jackson, Leonora"
"Schulz, Leo"
"Gale, Walter C."
"Schumann-Heink, Ernestine"
"Chapmann, Mrs."
"Peck, Mrs."
"Kreisler, Fritz"
"Huss, Henry Holden"
"Moss, Hissam de"
"Langley, Leland"
"Heyman, Katherine Ruth"
"Dohnanyi, Erno von"
"Becker, Hugo"
"Bertram, Theodor"
"Friedheim, Arthur"
"Williamson, Mary"
"Schuetze, Charles"
"Breitner, Ludwig"
"Koert, Jan"
"Spindler, Julius"
"Roodenburg, John"
"Bode, Albert"
"Zuckerman, Gussie"
"Krommer, Max"
"Meacham, Mrs."
"Farrell, Miss"
"Homan, Miss"
"Gildersleeve, Miss"
"Audience"
"Nassau, Marie"
"Hofmann, Josef"
"Rulan, Tirzah Hamlen"
"Bissell, Marie S."
"Gregorowitsch, Charles"
"Bauer, Harold"
"Hilke, Kathrin"
"Black, Morris"
"Webster Powell, Alma"
"Pirani, Eugenio di"
"Gabrilowitsch, Ossip"
"McCarthy, Maud"
"Crane, Ethel"
"Kirkby-Lunn, Louise"
"Ruegger, Elsa"
"Heermann, Hugo"
"Gilibert, Charles"
"Roger-Miclos"
"Margolies, Vera"
"Vrigo, Wilfrid"
"Patti, Adelina"
"Zamels, Roza"
"Howard, Kathleen"
"Cunningham, Claude A."
"Thibaud, Jacques"
"Kaufmann, Maurice"
"Grasse, Edwin"
"Schott, Anton"
"Graf-Schuecking, Ottilie"
"Shotwell-Piper, Mme."
"Beddoe, Dan F."
"Van Hoose, Ellison"
"Mihr-Hardy"
"Crawford, Leneida"
"Young, John"
"Johnson, Edward P."
"Reisenauer, Alfred"
"Cochran, Alice M."
"Spencer, Janet"
"Johnston, E."
"Strauss, Richard"
"Harmon, Bertha"
"Kennedy, Maud"
"Crawford, Margaret"
"Wheeler, Katherine"
"Bloomfield, Estelle"
"Cutter-Savage, Ruby"
"Archambault, Francis"
"Bromberg"
"Cumming, Shanna"
"Wheeler, Frederick"
"Quesnel, Albert"
"De Montjau, Etta"
"Friml, Rudolf"
"Bonsall"
"Barrow, Edward"
"Lawrence, George"
"De Rohan, Marie"
"Cave, Ethel V."
"Samaroff, Olga"
"Vianna da Motta, José"
"Kovarik, Josef J."
"Bossert, Anna"
"Walker, Julian"
"Kurth, Charles"
"Schade, William"
"Elmer, Emma E."
"Hall, Glen"
"Eames, Emma"
"Munson, Grace"
"Connor, Adah"
"Rice, Fanny"
"Vecsey, Franz von"
"Zilcher, Hermann"
"Dubois, Monsieur"
"Dethier, Edouard"
"Coons, Minnie"
"Hall, Marie"
"Chew, Otie"
"Baker, Beatrice"
"Downtown Cantors' Association of New York"
"Kubelik, Jan"
"Schwab, Ludwig"
"Abott, Bessie"
"Loeffler, Charles Martin"
"Ganz, Rudolph"
"Kunwald, Ernst"
"Gerardy, M."
"Schelke, Anna"
"James, Cecil"
"Croxton, Frank"
"Jahn, Edmund A."
"Duffey, J. Humbird"
"Pfeiffer, Selma"
"Schmitt, Henry P."
"Saint-Saens, Camille"
"Richolson, Edna"
"Saslavsky, Alexander"
"Mannes, Clara"
"Lhevinne, Josef"
"Stojowski, Sigismond"
"Barbour, Inez"
"Niessen-Stone, Von"
"Janpolski, Albert G."
"Macmillen, Francis"
"Bach Choir of Montclair"
"Burgstaller, Alois"
"Sammarco, Mario"
"Rider-Kelsey, Corinne"
"Sassard, Eugenie"
"Sassard, Virginia"
"Schelling, Ernest"
"Campbell, Rosemarie"
"Dufault, Paul"
"Schubert Glee Club"
"Goodson, Katharine"
"O'Brien, Rose"
"Taylor-Jones"
"Gogorza, Emilio Edoardo de"
"Daniels, Tom"
"Bramsen, Henry"
"Miller, Reed"
"Jomelli, Jeanne"
"Addimando, Caesare"
"Labate, Bruno"
"Tabuteau, Marcel"
"Lansing, Mary"
"Stoddart, Marie"
"Barrere [Barrère], Georges"
"Mesnard, Auguste"
"Mount Vernon Choral Society"
"Fine, Beatrice"
"Evans, Edwin"
"Spalding, Albert"
"Hartmann, Arthur"
"Leroy, Leon"
"Duncan, Isadora"
"Schroeder, Alwin"
"Combs, Laura L."
"Bailey, Gertrude Stein"
"Farrar, Geraldine"
"Schnitzer, Germaine"
"Keyes, Margaret"
"Elman, Mischa"
"Kefer, Paul"
"Wuellner, Ludwig"
"Bos, Coenraad V."
"Rogers, Francis"
"Schaffer, Josephine"
"Weld, Frederick"
"Goold, Edith Chapman"
"Fechheimer"
"Arnold, B. King"
"Gue"
"Nobbes, E. B."
"Bland, John"
"Becker, Delos"
"Bastow, Henry"
"Sarto, Andreas"
"Kaschowska, Felicia"
"Elwes, Gervase"
"Watrous, Herbert"
"Mahler, Gustav"
"Spiering, Theodore"
"Elvyn, Myrtle"
"Rachmaninoff, Sergei"
"Malkin, Joseph"
"Alten, Bella"
"Mero, Yolanda"
"Baker, Charles A."
"Harris, George, Jr."
"Gallico, Paolo"
"Gebhard, Heinrich"
"Martin, Riccardo"
"Koenen, Tilly"
"Verney, Romain"
"Kellerman, Marcus"
