"Venue"
"Ravinia Park Pavilion"
"Artemus W. Ham Concert Hall"
"Open Air Theatre"
"Davies Symphony Hall"
"Andrew Jackson Hall"
"Bush-Brown Concert Theater"
"Gaillard Municipal Auditorium"
"White House - Rose Garden"
"Poliedro"
"Teatro Solis"
"Luna Park"
"Hult Center for the Performing Arts"
"Gammage Center for the Performing Arts"
"Jones Hall for the Performing Arts"
"Performing Arts Center (Tulsa)"
"Fox Theatre"
"Battery Park"
"Asia Society"
"Naturemax Theater"
"Osaka-jo Hall"
"Kan'i Hoken Hall"
"Kanagawa Kenmin Hall"
"Nippon Budokan Hall"
"Dr. Sun Yat-Sen Memorial Hall"
"Hong Kong Coliseum"
"Thammasat University"
"Jakarta Convention Center"
"National Stadium"
"Siri Fort Cultural Center"
"Netaji Indoor Stadium"
"Tata Theatre"
"Shanmukhananda Hall"
"Damrosch Park"
"Alte Oper"
"Kulturpalast"
"Slot Zeist"
"Erkel Theater"
"Châtelet Théâtre"
"Auditorium Parco della Musica - Santa Cecilia Hall"
"Teatro Real"
"Spor ve Sergi Saravi Hall"
"Hayarkon Park"
"Mann Auditorium"
"Palácio de Queluz"
"National Concert Hall"
"Seaside Park"
"Church of the Holy Trinity"
"Tilles Center for the Performing Arts (Main)"
"Daniel Recital Hall"
"Palladium Nightclub"
"Hauppage High School"
"Hofstra University Playhouse"
"unnamed park"
"Royce Hall"
"Blossom Music Center"
"Merkin Concert Hall"
"Citibank"
"Teatro Teresa Carreno"
"Palacio des Artes"
"Palacio Anhembi"
"Ibirapuera Park"
"Hotel International"
"Iglesia de Santa Gema"
"Apollo Theater"
"Gorky Cultural Park"
"Barbican Centre"
"Nieuwe Kerk"
"Schauspielhaus"
"Sheridan High School"
"Cam-Plex Heritage Center"
"Kelly Walsh Auditorium"
"Fine Arts Concert Hall"
"Lincoln Theater"
"Walk Festival Hall"
"Padang"
"Thailand Cultural Center"
"Lyric Academy Hall"
"Sha Tin Town Hall"
"Seoul Arts Center (Concert Hall)"
"National Museum"
"Shirotori Century Plaza"
"Suntory Hall"
"The New School"
"Aaron Davis Hall, City College of New York"
"Dyker Beach Park"
"Orchard Beach"
"Bruno Walter Auditorium"
"Midland Center for the Arts"
"Roy Thomson Hall"
"Hancher Auditorium"
"Symphony Center (Morton H. Meyerson)"
"McGuire Air Force Base"
"Winter Garden Atrium (at the WFC)"
"Hillwood Recital Hall (Tilles)"
"Juniper Valley Park"
"Great Kills Park"
"Metropolitan Club"
"Teatro Cultura Artistica"
"Theresa L. Kaufmann Concert Hall, 92nd St. YMHA"
"Auditorio Nacional de Musica"
"De Warande"
"State Opera House (Hungarian)"
"New York Society for Ethical Culture"
"Caspary Auditorium, The Rockefeller University"
"Shilla Hotel"
"Hong Kong Cultural Centre (Concert Hall)"
"Prefectural Arts Center"
"Bunka Kaikan (Chiba-ken)"
"Cercle de l'Union Interalliée"
"Kölner Philharmonie"
"Villa Louvigny"
"Atatuerk Culture Center"
"Athens Concert Hall"
"Miller Field"
"Anderson Center for the Arts"
"Musik- und Kongresshalle Luebeck"
"Il Lingotto Conference Center"
"Blockbuster-Sony Music Entertainment Center"
"Centro de Bellas Artes Luis A. Ferré (Sala Antonio Paoli)"
"Museo Metropolitano"
"Museo de Arte Contemporaneo de Monterrey (MARCO)"
"Brookhaven Amphitheater"
"Baker Hall"
"Grace Church"
"The Stanley H. Kaplan Penthouse"
"Prudential Hall"
"Harmony Hall"
"Minato Mirai Hall"
"Sonic City"
"Cultural Center of the Philippines"
"Singapore Indoor Stadium"
"Victoria Concert Hall"
"Chiang Kai Shek Cultural Center"
"The Century Theatre"
"The Great Hall of the People"
"McCallum Theatre"
"Segerstrom Concert Hall (Renée and Henry)"
"New York State Theatre"
"Washington Pavilion of Arts and Sciences"
"Auditorio Alfredo Kraus"
"Coliseu dos Recreios"
"Clark Studio Theater"
"Musikverein"
"Smetana Hall"
"Philharmonic Hall Karl Szymanowski"
"Hotel Bristol"
"Teatr Wielki - Opera Narodowa"
"Hala Ludowa"
"Salon Alfons el Magnanim"
"Palao de la Musica"
"Auditorio y Palacio de Congresos"
"Auditorio Palacio de Congresos Principe Felipe"
"Auditorio de Galicia"
"Sala São Paulo"
"Museo Nacional de Arte Decorativo"
"PNC Bank Performing Arts Center"
"Volkswagen Halle"
"The Equitable Building"
"Federal Reserve Bank of New York"
"Regent Wall Street Hotel"
"Bank of New York"
"South Street Seaport"
"32 Old Slip"
"One Liberty Plaza"
"Federal Hall"
"4 World Trade Center"
"One World Financial Center"
"Verizon Hall at Kimmel Center"
"Morgan Library"
"Festspielhaus und Festspiele Baden-Baden GmbH"
"Acros Fukuoka"
"Kyoto Concert Hall"
"Act City Concert Hall"
"Poly Theatre"
"Macau Cultural Center"
"Petronas Concert Hall"
"Concert Hall Esplanade"
"Harold M. Proshansky Auditorium"
"Kravis Center for the Performing Arts (Alexander W. Dreyfoos, Jr. Concert Hall)"
"Bob Carr Performing Arts Centre"
"Donna and Marvin Schwartz Center for the Performing Arts (Emerson Concert Hall)"
"Blumenthal Performing Arts Center"
"Weill Recital Hall at Carnegie Hall"
"Farley / Speyer Home"
"Teatro Lirico di Cagliari"
"Forte Village Resort"
"Gerald R. Ford Amphitheater"
"Ed Sullivan Theatre"
"Hoff-Barthelson Music School"
"Maazel Home"
"Miller Theatre, Columbia University"
"Right Track Recording"
"Daejeon Culture and Arts Center"
"Leighton Concert Hall"
"Miller Auditorium"
"Philharmonie (Alfried-Krupp Hall)"
"Walter Reade Theater (Furman Gallery)"
"Springer Concert Hall (College of Staten Island)"
"Philharmonie Luxembourg (Joséphine-Charlotte)"
"Frauenkirche"
"Gasteig Philharmonie"
"Villa Taverna"
"Auditorium Parco della Musica"
"Palazzo Corsini"
"Palazzo Mauro de André"
"Cankarjev dom (Gallus Hall)"
"Teatro Verdi"
"Bethel Woods Center for the Arts"
"The State Theatre"
"Tokyo Opera City Concert Hall"
"Iichiko Culture Center (Grand Theatre)"
"US Ambasador Residence"
"Hyogo Performing Arts Center (Grand Hall)"
"Metropolitan Opera House (at Lincoln Center)"
"Hochman residence"
"Palace of Arts  (Bela Bartók National Concert Hall)"
"US Ambassador Residence"
"Opernplatz"
"Hull Room"
"Guenther residence"
"Josie Robertson Plaza (Lincoln Center)"
"Credit Suisse Headquarters"
"The Boathouse"
"Gerald W. Lynch Theater"
"Rubenstein Home"
"Rose Theater"
"Kaohsiung Cultural Center (Chih-Teh Hall)"
"US Consul General Residence"
"Shanghai Grand Theatre Performing Arts Centre (Lyric)"
"National Centre for the Performing Arts (Concert Hall)"
"East Pyongyang Grand Theatre"
"Links Club"
"Rosen Home"
"Lincoln Square"
"Richmond County Bank Ballpark"
"Wychwood House"
"Laeiszhalle"
"Official Residence of the United States Ambassador"
"Beethoven-Saal"
"Bryant Park"
"City University of New York"
"M.J. Wallach Home"
"Home of Paul and Virginia Pellicci"
"Georgescu Home"
"Philharmonic Center for the Arts (Hayes Hall)"
"Adrienne Arsht Center for the Performing Arts (Knight Concert Hall)"
"Teatro de la Universidad de Puerto Rico"
"University of North Carolina (Memorial Hall)"
"Norton Center for the Arts (Newlin Hall)"
"Center for the Arts, College of Staten Island / CUNY"
"Credit Suisse offices"
"Caramoor Venetian Theater"
"Residence of Deputy Chief of Mission"
"Hanoi Opera House"
"Shaw Foundation Symphony Stage"
"Esplanade"
"U.S. Ambassador's Residence"
"Emirates Palace Auditorium"
"Al Jahili Fort"
"Symphony Space"
"Konzerthaus"
"United States Embassy"
"Union Club"
"Haseltine residence"
"Park Avenue Christian Church"
"Wölffer Estate Vineyard"
"Racquet and Tennis Club"
"Hostos Center for the Arts and Culture, Hostos Community College, CUNY"
"Sala Sava"
"National Opera & Ballet Theatre"
"Home of Jack and Shirley Silver"
