1147,29
1148,4
1149,2
1150,2
1151,3
1152,3
1153,2
1043,15
1154,15
1155,16
1156,3
1157,3
1158,3
691,56
1159,27
1160,19
1161,15
1162,2
1163,3
1164,3
1165,14
1166,11
1167,3
1168,46
1169,46
1170,46
1171,3
1172,46
1173,46
1174,46
1175,46
1176,46
1177,59
1178,59
1179,8
1180,60
1181,3
1182,2
1183,3
1184,2
1185,61
1186,4
1187,3
1188,3
1189,24
1190,26
1191,2
1192,13
1193,3
1194,5
1195,2
1196,15
1197,3
1198,2
1199,4
1200,8
1201,6
1202,29
1203,3
1204,3
1205,2
1206,4
1207,27
1208,4
1209,15
1210,3
1211,3
1212,3
1213,4
1214,25
1215,2
1216,2
1217,8
1218,3
1219,2
1220,2
1221,8
1222,3
1223,4
1224,4
1225,3
1226,26
1227,6
1228,3
1229,4
1230,24
1231,3
1232,24
1233,8
1234,25
1235,2
1236,3
588,62
1237,4
1238,25
1239,27
1240,3
1241,6
1242,3
1243,3
1244,27
971,26
1245,2
1246,4
1247,24
1248,3
1249,2
1250,4
667,43
1251,24
1252,15
1253,15
1254,8
1255,4
1256,38
1257,2
1258,8
1259,29
1260,19
1261,3
1262,3
1263,4
1264,3
1214,20
1265,24
1266,4
1267,50
1268,27
1269,50
1270,63
1271,63
1272,13
1273,45
1274,27
861,23
1275,33
1276,15
1277,15
1277,2
1278,3
1279,2
1280,24
1281,8
1282,6
1283,25
1284,54
1285,4
1286,4
1287,5
1288,6
1289,2
1290,21
1291,3
1292,4
1293,8
1294,3
1295,4
1296,2
1297,3
1298,2
1299,26
1300,12
978,56
1301,3
1302,8
1186,3
1303,6
1304,64
1305,44
1306,21
1307,21
1308,3
1309,2
1310,3
1311,3
1312,2
1313,3
1314,15
1315,8
1316,3
1317,3
1318,46
1319,46
1320,46
1321,46
1322,46
1323,65
1324,29
1324,2
1161,24
1325,3
1247,19
1326,15
1327,4
1328,4
1329,8
1330,29
1331,2
1230,8
1332,14
1333,44
1334,3
1335,2
1336,2
1337,15
1338,45
1339,10
1340,11
1341,4
1342,6
1343,5
1344,3
1345,29
1337,8
1251,19
1346,66
1347,12
1348,12
1349,4
1350,2
1336,26
1351,15
1352,2
1353,7
853,29
1351,29
1354,24
1355,4
1356,9
1357,41
1358,27
1338,3
1359,46
1360,46
1361,46
1362,16
1350,15
1363,21
1364,28
1365,28
1366,28
1367,64
1368,16
1369,3
1370,3
1371,67
1372,68
1373,68
1374,68
1375,24
1308,27
1376,8
1377,2
1378,4
1379,24
1380,26
1381,3
1382,2
1383,3
1384,4
1385,4
1386,21
1387,69
1388,3
1389,3
1390,25
1391,2
