"","workTitle"
"3812","GRANDE POLONAISE, F MAJOR"
"3830","TANNHAUSER: ILLUSTRATION DRAMATIQUE"
"3839","ERSTE WALPURGISNACHT, DIE, OP.60"
"3842","NATIONAL OVERTURE"
"3865","JUDAS MACCABAEUS"
"3888","YANKEE DOODLE (VIOLIN) (ARR. Vieuxtemps)"
"3911","COLUMBIA, GEM OF THE OCEAN"
"3934","COMING OF THE FLOWERS"
"3957","GOD SAVE OUR FATHERLAND"
"3980","TO ARMS! TO ARMS!"
"4072","AMERICA"
"4095","ISRAEL IN EGYPT"
"4118","THE UNION, RIGHT OR WRONG"
"4164","VIVANDIERE SONG"
"4187","PARDON LE PLOERMEL (FANTASIE)"
"4210","RIP VAN WINKLE: GOD OF BATTLES"
"4233","VALSE DU CONCERT"
"4256","ILLUSTRI RIVALI: IN TERRA CI DIVISERO"
"4302","UNITED STATES"
"4333","CONCERTO, PIANO, NO. 2, F MINOR, OP. 21"
"4341","ROMAN CARNIVAL OVERTURE (LE CARNAVAL ROMAIN)"
"4349","VARIATIONS DE CONCERT ON THEMES BY DONIZETTI"
"4361","SYMPHONY NO. 35, D MAJOR, K.385, ""HAFFNER"""
"4366","PIETA, SIGNORE"
"4381","CONCERTO, VIOLIN, D MAJOR, OP.61"
"4386","L'AMOR FUNESTA"
"4406","CONCERTO, PIANO, NO. 3, C MINOR, OP. 37"
"4416","SERENADE NO. 2 IN A MAJOR, OP. 16"
"4426","POLONAISE, E MAJOR, PIANO"
"4431","LA SOLITUDE, NOCTURNE FOR FRENCH HORN"
"4453","MORCEAUX SYMPHONIQUES, DEUX"
"4457","MYRTHEN, OP. 25"
"4461","LANDLICHE SCENE, FANTASY FOR BASSOON"
"4472","CONCERTO MILITAIRE, VIOLIN"
"4478","ORPHEUS (SYMPHONIC POEM NO. 4)"
"4484","CONCERTINO FOR TROMBONE, OP. 4"
"4493","WANDERERFANTASIE, D.760 (ORCH) (ARR. Liszt)"
"4505","BALLADE, A FLAT MAJOR, OP.47"
"4511","CHRISTMAS NIGHT'S DREAM, A"
"4518","SCENA ITALIANA DI CONCERTO"
"4538","PRELUDE AND FUGUE, A MINOR (UNSPECIFIED)"
"4546","LEONORE OVERTURE NO. 3, OP. 72B"
"4555","SCHONE MULLERIN, DIE, D.795"
"4560","CONCERTO, PIANO, NO. 4, G MAJOR, OP. 58"
"4570","CONCERT OVERTURE, B FLAT MAJOR, OP. 60"
"4575","ROMANCE, MY SOUL TO GOD, MY HEART"
"4580","IMPROMPTU FANTASIE, E-FLAT MAJOR, OP. 66"
"4585","TARENTELLE"
"4612","CONCERTO, VIOLIN, NO. 2, OP. 32"
"4636","REVERIE"
"4642","ADELAIDE, OP. 46"
"4682","ROMANCE, SOLO FOR CORNET A PISTON"
"4686","PROMENADES D'UN SOLITAIRE, OP.80, NO. 2"
"4710","CONCERTO, PIANO, F SHARP MINOR, OP.69"
"4722","FAUST: GRAND WALTZ (ARR. Liszt)"
"4726","VARIATIONS DE BRAVURA, FOR SOPRANO"
"4734","FLIEGENDE HOLLANDER [HOLLÄNDER], DER"
"4748","MORCEAU SYMPHONIQUE NO. 4 (LE SONGE)"
"4763","BALLADE FOR PIANO, B MAJOR, OP. 12"
"4768","CONCERT VARIATIONS FOR SOPRANO AND VIOLIN"
"4783","FAUST SYMPHONY"
"4798","TREUE LIEBE (TRUE LOVE)"
"4803","AN DEN STURMWIND (TO THE STORM)"
"4818","SYMPHONY NO.  99, E FLAT MAJOR"
"4868","COLUMBUS"
"4878","SONG WITHOUT WORDS"
"4883","MARTHA"
"4888","HAIL COLUMBIA: OVERTURE"
"4921","POLONAISE BRILLANTE FOR PIANO, OP.72 (ARR. Liszt)"
"4934","DIE STILLE WASSERROSE"
"4946","FESTGESANG AN DIE KUNSTLER"
"4959","SOUVENIRS DE MOZART, FANTASIE FOR VIOLIN"
"4991","SYMPHONY NO. 103, E FLAT MAJOR (DRUMROLL)"
"4994","FRATRES EGO ENIM ACCEPI"
"5003","MEDEA, OP. 22"
"5006","GRAUNER MASS: CREDO"
"5042","CONCERTO, PIANO NO. 21, C MAJOR, K.467"
"5048","MAZEPPA (SYMPHONIC POEM NO. 6)"
"5054","TARENTELLE NO. 2"
"5069","PROMETHEUS"
"5071","FANTASIE BRILLANTE FOR VIOLIN"
"5085","SYMPHONY NO. 38, D MAJOR, K.504, ""PRAGUE"""
"5093","GRANDE FANTASIE FOR PIANO"
"5097","SYMPHONIE FANTASTIQUE, OP.14"
"5117","TRISTAN UND ISOLDE, WWV 90"
